Phylum,R1,R1,R1,R1,R2,R2,R2,R2,S,S,S,S
Proteobacteria,0,7.74554E-06,4.27046E-05,0,4.69112E-05,0.001444235,2.10283E-05,1.95516E-05,3.1699E-05,0,0,0
Epsilonbacteraeota,0.000802351,6.19643E-05,3.26564E-05,8.61899E-05,0,6.12706E-05,0.00073599,2.60688E-05,2.11326E-05,1.6106E-05,2.64145E-05,2.24842E-05
Firmicutes,0,0,0,0.002722585,0,0,0,0,0,0,0,0
Euryarchaeota,1.5196E-05,0,1.00481E-05,0.002621185,0,1.75059E-05,1.68226E-05,0,0,0,0,0
Proteobacteria,0.000972547,8.90737E-05,2.26083E-05,0.00012168,1.6754E-05,6.12706E-05,8.83188E-05,2.60688E-05,1.76105E-05,0,2.64145E-05,0.000182684
Bacteroidetes,5.16666E-05,5.0346E-05,2.00963E-05,0.001926597,3.01572E-05,2.33412E-05,8.83188E-05,0.000136861,7.04421E-06,2.30086E-05,1.58487E-05,1.96737E-05
Proteobacteria,0.000133725,0.000205257,5.27527E-05,0.00023322,6.36652E-05,7.58588E-05,0.000117758,0.000188999,0.000207804,4.37162E-05,8.18849E-05,0.000345695
Actinobacteria,8.20586E-05,7.35827E-05,3.76805E-05,0.00023322,6.7016E-05,2.62588E-05,5.04679E-05,5.21376E-05,0.000387432,2.07077E-05,0.00056527,0
Actinobacteria,5.47058E-05,8.13282E-05,4.27046E-05,8.61899E-05,5.0262E-05,0.000741082,4.62622E-05,5.86548E-05,1.76105E-05,0.000246192,0,8.43158E-06
Bacteroidetes,4.25489E-05,1.93639E-05,3.01444E-05,5.06999E-05,4.02096E-05,2.91765E-05,0.001606561,3.2586E-05,2.11326E-05,1.6106E-05,0,1.12421E-05
Euryarchaeota,0,0,0,0.000826409,0,8.75294E-06,0,0,1.40884E-05,0.000676451,0,5.62106E-06
Proteobacteria,0,0,1.25602E-05,0,2.01048E-05,0.00115247,1.2617E-05,4.56204E-05,0,2.30086E-05,3.43388E-05,1.12421E-05
Bacteroidetes,4.25489E-05,0,0,0.001703517,0,3.50118E-05,0,0,2.46547E-05,1.15043E-05,4.22632E-05,6.46421E-05
Cyanobacteria,2.43137E-05,5.0346E-05,0,4.56299E-05,4.02096E-05,0,2.10283E-05,0,0,0.000802998,0,0
